time,instrument,name,tf,direction,hour,session,score,signals,signal_count,result,rr,hold_bars,phase
2026-03-18T09:00:00.000000000Z,GBP_USD,GBP/USD,H4,SHORT,9,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,2,TEST
2025-11-26T06:00:00.000000000Z,USD_JPY,USD/JPY,H4,LONG,6,ASIAN,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,16,TRAIN
2025-11-28T02:00:00.000000000Z,USD_JPY,USD/JPY,H4,LONG,2,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,3,TRAIN
2026-01-07T02:00:00.000000000Z,USD_JPY,USD/JPY,H4,LONG,2,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2026-01-19T06:00:00.000000000Z,USD_JPY,USD/JPY,H4,LONG,6,ASIAN,80,"TREND_CONT,RSI_DIV,LIQ_SWEEP",3,LOSS,-1.0,7,TRAIN
2026-02-03T02:00:00.000000000Z,USD_JPY,USD/JPY,H4,SHORT,2,ASIAN,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,3,TEST
2026-02-03T18:00:00.000000000Z,USD_JPY,USD/JPY,H4,SHORT,18,NEWYORK,85,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,2,TEST
2025-12-16T06:00:00.000000000Z,AUD_USD,AUD/USD,H4,LONG,6,ASIAN,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,5,TRAIN
2026-02-19T02:00:00.000000000Z,AUD_USD,AUD/USD,H4,LONG,2,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,2,TEST
2025-12-10T14:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,14,OVERLAP,70,"VWAP,ENGULF,STOCH_CROSS",3,WIN,2.5,1,TRAIN
2025-12-31T14:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,14,OVERLAP,90,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,1,TRAIN
2026-01-05T18:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,18,NEWYORK,90,"TREND_CONT,RSI_DIV,LIQ_SWEEP",3,LOSS,-1.0,5,TRAIN
2026-02-25T18:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,18,NEWYORK,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,5,TEST
2026-03-03T18:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,18,NEWYORK,85,"TREND_CONT,VWAP,LIQ_SWEEP",3,WIN,2.5,18,TEST
2026-03-04T18:00:00.000000000Z,USD_CAD,USD/CAD,H4,SHORT,18,NEWYORK,70,"EMA_CROSS,TREND_CONT,VWAP",3,LOSS,-1.0,5,TEST
2026-03-23T17:00:00.000000000Z,USD_CAD,USD/CAD,H4,LONG,17,NEWYORK,85,"TREND_CONT,VWAP,LIQ_SWEEP",3,WIN,2.5,11,TEST
2025-12-31T14:00:00.000000000Z,USD_CHF,USD/CHF,H4,SHORT,14,OVERLAP,70,"TREND_CONT,RSI_DIV,ENGULF",3,LOSS,-1.0,9,TRAIN
2026-01-14T10:00:00.000000000Z,USD_CHF,USD/CHF,H4,LONG,10,LONDON,75,"ASIAN_BREAK,GOLDEN_CROSS,ENGULF",3,LOSS,-1.0,1,TRAIN
2026-01-26T10:00:00.000000000Z,USD_CHF,USD/CHF,H4,SHORT,10,LONDON,80,"ASIAN_BREAK,RETEST,EMA_RIBBON",3,WIN,2.5,7,TRAIN
2025-11-21T10:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,LONG,10,LONDON,75,"EMA_CROSS,TREND_CONT,VWAP",3,LOSS,-1.0,1,TRAIN
2025-12-09T10:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,SHORT,10,LONDON,80,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2025-12-11T14:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,SHORT,14,OVERLAP,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2026-01-22T10:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,SHORT,10,LONDON,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2026-01-23T10:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,SHORT,10,LONDON,75,"EMA_CROSS,ASIAN_BREAK,ENGULF",3,LOSS,-1.0,3,TRAIN
2026-02-13T14:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,LONG,14,OVERLAP,70,"GOLDEN_CROSS,TREND_CONT,VWAP",3,LOSS,-1.0,1,TEST
2026-02-17T10:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,LONG,10,LONDON,80,"EMA_CROSS,TREND_CONT,VWAP",3,WIN,2.5,1,TEST
2026-03-19T13:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,SHORT,13,OVERLAP,85,"EMA_CROSS,TREND_CONT,VWAP",3,LOSS,-1.0,6,TEST
2026-03-30T09:00:00.000000000Z,EUR_GBP,EUR/GBP,H4,LONG,9,LONDON,75,"ASIAN_BREAK,ENGULF,RETEST",3,WIN,2.5,7,TEST
2025-12-01T10:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,10,LONDON,90,"BB_TOUCH,TREND_CONT,STOCH_CROSS,LIQ_SWEEP",4,WIN,2.5,12,TRAIN
2025-12-08T10:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,10,LONDON,80,"EMA_CROSS,ASIAN_BREAK,TREND_CONT,VWAP",4,WIN,2.5,5,TRAIN
2025-12-16T10:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,10,LONDON,70,"TREND_CONT,ENGULF,STOCH_CROSS",3,LOSS,-1.0,3,TRAIN
2025-12-31T14:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,14,OVERLAP,75,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,5,TRAIN
2026-01-07T14:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,14,OVERLAP,85,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,12,TRAIN
2026-01-20T10:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,10,LONDON,75,"EMA_CROSS,ASIAN_BREAK,EMA_RIBBON",3,WIN,2.5,14,TRAIN
2026-03-10T09:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,9,LONDON,70,"ASIAN_BREAK,TREND_CONT,ENGULF",3,LOSS,-1.0,17,TEST
2026-03-11T09:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,9,LONDON,75,"ASIAN_BREAK,GOLDEN_CROSS,RETEST",3,LOSS,-1.0,3,TEST
2026-03-19T09:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,SHORT,9,LONDON,85,"EMA_CROSS,LONDON_BREAK,ASIAN_BREAK,EMA_RIBBON",4,LOSS,-1.0,2,TEST
2026-04-01T09:00:00.000000000Z,EUR_JPY,EUR/JPY,H4,LONG,9,LONDON,70,"ASIAN_BREAK,TREND_CONT,VWAP",3,TIMEOUT,0.0,120,TEST
2025-12-15T10:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,LONG,10,LONDON,75,"BB_TOUCH,TREND_CONT,STOCH_CROSS",3,LOSS,-1.0,4,TRAIN
2026-01-09T10:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,LONG,10,LONDON,70,"ASIAN_BREAK,TREND_CONT,VWAP",3,WIN,2.5,5,TRAIN
2026-01-15T10:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,LONG,10,LONDON,70,"TREND_CONT,ENGULF,STOCH_CROSS",3,LOSS,-1.0,1,TRAIN
2026-02-19T10:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,SHORT,10,LONDON,70,"TREND_CONT,ENGULF,STOCH_CROSS",3,LOSS,-1.0,7,TEST
2026-03-06T10:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,SHORT,10,LONDON,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-03-17T09:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,LONG,9,LONDON,70,"ASIAN_BREAK,TREND_CONT,VWAP",3,LOSS,-1.0,11,TEST
2026-03-19T09:00:00.000000000Z,GBP_JPY,GBP/JPY,H4,SHORT,9,LONDON,70,"EMA_CROSS,LONDON_BREAK,ASIAN_BREAK",3,LOSS,-1.0,1,TEST
2026-01-27T02:00:00.000000000Z,AUD_JPY,AUD/JPY,H4,LONG,2,ASIAN,75,"TREND_CONT,ENGULF,STOCH_CROSS",3,LOSS,-1.0,1,TRAIN
2025-10-17T18:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,18,NEWYORK,85,"MEAN_REV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,16,TRAIN
2025-11-03T05:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,5,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2025-11-05T18:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,18,NEWYORK,90,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,11,TRAIN
2025-11-06T06:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,6,ASIAN,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-11-06T13:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,13,OVERLAP,90,"ENGULF,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,1,TRAIN
2025-11-06T20:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,20,NEWYORK,70,"EMA_CROSS,TREND_CONT,ENGULF",3,LOSS,-1.0,4,TRAIN
2025-11-07T12:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,12,OVERLAP,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,WIN,2.143,2,TRAIN
2025-11-07T15:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,15,OVERLAP,75,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2025-11-21T02:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,2,ASIAN,70,"EMA_CROSS,TREND_CONT,VWAP",3,WIN,2.143,4,TRAIN
2025-12-02T12:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,12,OVERLAP,85,"TREND_CONT,ENGULF,LIQ_SWEEP",3,WIN,2.143,2,TRAIN
2025-12-03T16:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,16,OVERLAP,85,"TREND_CONT,VWAP,EMA_RIBBON",3,LOSS,-1.0,1,TRAIN
2025-12-04T05:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,5,ASIAN,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-12-08T00:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,0,ASIAN,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,15,TRAIN
2025-12-15T18:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,18,NEWYORK,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,7,TRAIN
2025-12-18T06:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,6,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,2,TRAIN
2025-12-18T14:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,14,OVERLAP,85,"VWAP,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-12-19T15:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,15,OVERLAP,75,"EMA_CROSS,TREND_CONT,VWAP",3,WIN,2.143,1,TRAIN
2025-12-30T14:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,14,OVERLAP,90,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,2,TRAIN
2026-01-02T02:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,2,ASIAN,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2026-01-02T07:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,7,LONDON,85,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2026-01-02T14:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,14,OVERLAP,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,WIN,2.143,1,TRAIN
2026-01-07T08:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,8,LONDON,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,3,TRAIN
2026-01-15T06:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,6,ASIAN,90,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,7,TRAIN
2026-02-16T03:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,3,ASIAN,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,6,TEST
2026-02-16T08:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,8,LONDON,70,"EMA_CROSS,TREND_CONT,VWAP",3,LOSS,-1.0,5,TEST
2026-02-17T07:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,7,LONDON,75,"LONDON_BREAK,DEATH_CROSS,EMA_RIBBON",3,LOSS,-1.0,1,TEST
2026-02-17T08:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,8,LONDON,85,"LONDON_BREAK,ASIAN_BREAK,RETEST,EMA_RIBBON",4,LOSS,-1.0,2,TEST
2026-02-27T13:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,13,OVERLAP,70,"EMA_CROSS,TREND_CONT,VWAP",3,WIN,2.143,1,TEST
2026-03-06T17:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,17,NEWYORK,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-03-12T10:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,10,LONDON,70,"EMA_CROSS,ASIAN_BREAK,ENGULF",3,LOSS,-1.0,1,TEST
2026-03-25T03:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,3,ASIAN,75,"BB_TOUCH,MEAN_REV,STOCH_CROSS",3,WIN,2.143,16,TEST
2026-03-26T09:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,9,LONDON,80,"LONDON_BREAK,ASIAN_BREAK,EMA_RIBBON",3,LOSS,-1.0,2,TEST
2026-03-27T11:00:00.000000000Z,XAU_USD,GOLD,H1,SHORT,11,LONDON,70,"EMA_CROSS,VWAP,ENGULF",3,LOSS,-1.0,1,TEST
2026-04-01T09:00:00.000000000Z,XAU_USD,GOLD,H1,LONG,9,LONDON,75,"ASIAN_BREAK,GOLDEN_CROSS,RETEST",3,WIN,2.143,6,TEST
2025-12-04T18:00:00.000000000Z,XAU_USD,GOLD,H4,LONG,18,NEWYORK,75,"EMA_CROSS,VWAP,ENGULF",3,LOSS,-1.0,11,TRAIN
2025-12-31T10:00:00.000000000Z,XAU_USD,GOLD,H4,LONG,10,LONDON,95,"MEAN_REV,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,WIN,2.5,13,TRAIN
2026-02-02T10:00:00.000000000Z,XAU_USD,GOLD,H4,LONG,10,LONDON,85,"MEAN_REV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,116,TEST
2025-10-17T18:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,18,NEWYORK,85,"MEAN_REV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,17,TRAIN
2025-10-21T08:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,8,LONDON,75,"LONDON_BREAK,ASIAN_BREAK,RETEST",3,WIN,2.143,1,TRAIN
2025-10-21T17:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,17,NEWYORK,75,"DEATH_CROSS,RETEST,EMA_RIBBON",3,LOSS,-1.0,9,TRAIN
2025-10-23T10:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,10,LONDON,95,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,1,TRAIN
2025-10-23T15:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,15,OVERLAP,90,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,5,TRAIN
2025-10-29T10:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,10,LONDON,75,"BB_TOUCH,MEAN_REV,STOCH_CROSS",3,WIN,2.143,7,TRAIN
2025-11-03T14:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,14,OVERLAP,70,"TREND_CONT,VWAP,ENGULF",3,WIN,2.143,1,TRAIN
2025-11-05T10:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,10,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,3,TRAIN
2025-11-05T19:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,19,NEWYORK,85,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.143,5,TRAIN
2025-11-13T17:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,17,NEWYORK,85,"ENGULF,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-11-14T15:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,15,OVERLAP,80,"BB_TOUCH,MEAN_REV,STOCH_CROSS",3,LOSS,-1.0,5,TRAIN
2025-11-21T10:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,10,LONDON,75,"ASIAN_BREAK,DEATH_CROSS,RETEST",3,LOSS,-1.0,2,TRAIN
2025-12-19T09:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,9,LONDON,70,"EMA_CROSS,ASIAN_BREAK,ENGULF",3,WIN,2.143,5,TRAIN
2026-01-30T08:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,8,LONDON,80,"RSI_DIV,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2026-02-04T13:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,13,OVERLAP,85,"MEAN_REV,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-02-06T19:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,19,NEWYORK,75,"MEAN_REV,RSI_DIV,STOCH_CROSS",3,LOSS,-1.0,3,TEST
2026-03-02T18:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,18,NEWYORK,75,"BB_TOUCH,MEAN_REV,STOCH_CROSS",3,WIN,2.143,2,TEST
2026-03-09T14:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,14,OVERLAP,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-03-11T09:00:00.000000000Z,XAG_USD,SILVER,H1,LONG,9,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,2,TEST
2026-03-24T18:00:00.000000000Z,XAG_USD,SILVER,H1,SHORT,18,NEWYORK,70,"TREND_CONT,ENGULF,STOCH_CROSS",3,LOSS,-1.0,2,TEST
2025-11-24T18:00:00.000000000Z,XAG_USD,SILVER,H4,LONG,18,NEWYORK,70,"TREND_CONT,VWAP,ENGULF",3,WIN,2.5,10,TRAIN
2025-12-01T10:00:00.000000000Z,XAG_USD,SILVER,H4,LONG,10,LONDON,80,"ASIAN_BREAK,RETEST,EMA_RIBBON",3,LOSS,-1.0,19,TRAIN
2025-10-16T09:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,9,LONDON,75,"LONDON_BREAK,VWAP,ENGULF",3,LOSS,-1.0,2,TRAIN
2025-10-23T08:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,8,LONDON,85,"LONDON_BREAK,ASIAN_BREAK,GOLDEN_CROSS",3,WIN,2.143,1,TRAIN
2025-10-23T09:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,9,LONDON,80,"LONDON_BREAK,ASIAN_BREAK,GOLDEN_CROSS",3,LOSS,-1.0,3,TRAIN
2025-10-30T15:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,15,OVERLAP,85,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,7,TRAIN
2025-11-05T09:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,9,LONDON,75,"EMA_CROSS,LONDON_BREAK,TREND_CONT",3,WIN,2.143,1,TRAIN
2025-11-07T08:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,8,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-11-10T11:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,11,LONDON,80,"VWAP,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-11-11T08:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,8,LONDON,80,"ASIAN_BREAK,TREND_CONT,VWAP,ENGULF",4,LOSS,-1.0,1,TRAIN
2025-11-11T18:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,18,NEWYORK,75,"GOLDEN_CROSS,RETEST,EMA_RIBBON",3,LOSS,-1.0,9,TRAIN
2025-11-18T07:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,7,LONDON,75,"DEATH_CROSS,ENGULF,RETEST",3,LOSS,-1.0,1,TRAIN
2025-11-18T08:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,8,LONDON,75,"ASIAN_BREAK,DEATH_CROSS,EMA_RIBBON",3,LOSS,-1.0,1,TRAIN
2025-11-18T16:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,16,OVERLAP,75,"EMA_CROSS,TREND_CONT,VWAP",3,WIN,2.143,1,TRAIN
2025-11-25T09:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,9,LONDON,70,"ASIAN_BREAK,TREND_CONT,VWAP",3,LOSS,-1.0,1,TRAIN
2025-12-02T13:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,13,OVERLAP,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-12-02T16:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,16,OVERLAP,85,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,1,TRAIN
2025-12-04T09:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,9,LONDON,85,"LONDON_BREAK,ASIAN_BREAK,VWAP,EMA_RIBBON",4,LOSS,-1.0,1,TRAIN
2025-12-04T10:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,10,LONDON,70,"TREND_CONT,VWAP,ENGULF",3,LOSS,-1.0,1,TRAIN
2025-12-04T16:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,16,OVERLAP,85,"EMA_CROSS,TREND_CONT,EMA_RIBBON",3,WIN,2.143,1,TRAIN
2025-12-12T10:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,10,LONDON,70,"EMA_CROSS,ASIAN_BREAK,VWAP",3,WIN,2.143,4,TRAIN
2025-12-18T18:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,18,NEWYORK,70,"TREND_CONT,VWAP,ENGULF",3,WIN,2.143,1,TRAIN
2025-12-23T17:00:00.000000000Z,BCO_USD,BRENT,H1,LONG,17,NEWYORK,85,"VWAP,ENGULF,LIQ_SWEEP",3,WIN,2.143,1,TRAIN
2026-01-02T15:00:00.000000000Z,BCO_USD,BRENT,H1,SHORT,15,OVERLAP,80,"DEATH_CROSS,RETEST,EMA_RIBBON",3,LOSS,-1.0,1,TRAIN
